Nazwa zawodów;Data_przetworzona;miesiac;rok;Dystans_czyszczony;Miejsce_przetworzone;WOJEWODZTWO;gorskie
6. Bieg Ogińskiej - Biegi dla dzieci;22-03-2025;marzec;2025;0.3 km, 0.6 km;SIEDLCE;MAZOWIECKIE;0
7. Dycha z Górką;22-03-2025;marzec;2025;5 km, 10 km;OBORNIKI ŚLĄSKIE;DOLNOŚLĄSKIE;0
Grand Prix CITY TRAIL Warszawa;22-03-2025;marzec;2025;5 km;WARSZAWA;MAZOWIECKIE;0
Grand Prix CITY TRAIL;22-03-2025;marzec;2025;5 km;WARSZAWA;MAZOWIECKIE;0
Ultra Świr;22-03-2025;marzec;2025;17 km;PTASZKOWA;MAŁOPOLSKIE;0
Bieg Wiosenny w Parku Śląskim;22-03-2025;marzec;2025;10 km;CHORZÓW;ŚLĄSKIE;0
Wesołe Biegi Górskie 360;22-03-2025;marzec;2025;10 km;WARSZAWA;MAZOWIECKIE;0
21 Krakowski Półmaraton Marzanny;22-03-2025;marzec;2025;21.097 km;KRAKÓW;MAŁOPOLSKIE;0
6. Bieg Ogińskiej;22-03-2025;marzec;2025;5 km, 10 km;SIEDLCE;MAZOWIECKIE;0
Kwidzyński Leśny Festiwal Biegowy - Wiosna 2025;22-03-2025;marzec;2025;10 km, 21.097 km, 42.195 km;KWIDZYN;POMORSKIE;0
9 BIEG KOPERNIKA;22-03-2025;marzec;2025;5 km;RYBNIK;ŚLĄSKIE;0
Charytatywny Bieg Żonkilowa Piątka;22-03-2025;marzec;2025;5 km;OPOLE;OPOLSKIE;0
Beach #RUNinSOPOT - etap 3;22-03-2025;marzec;2025;6 km;SOPOT;POMORSKIE;0
Szczeciński Bieg Klimatyczny;22-03-2025;marzec;2025;5 km;SZCZECIN;ZACHODNIOPOMORSKIE;0
"Sopot, ""#RUNinSOPOT po Plaży - III edycja""";22-03-2025;marzec;2025;6 km;SOPOT;POMORSKIE;0
Ultramaraton Zielonogórski Nowe Granice;22-03-2025;marzec;2025;22.5 km, 48.5 km, 103.5 km;ZIELONA GÓRA;LUBUSKIE;1
Wiosenny Ultra Świr;22-03-2025;marzec;2025;17 km;PTASZKOWA;MAŁOPOLSKIE;1
X Maraton Chwałowicki;22-03-2025;marzec;2025;42.2 km;CHWAŁOWICE;MAŁOPOLSKIE;0
I SZCZECIŃSKI BIEG KLIMATYCZNY;22-03-2025;marzec;2025;5 km;SZCZECIN;ZACHODNIOPOMORSKIE;0
12 Luboń Track;22-03-2025;marzec;2025;3 km;LUBOŃ;WIELKOPOLSKIE;0
"Pyrzycka Szybka Dycha
Bieg Smoka - Pyrzycki Bieg Dzieci";23-03-2025;marzec;2025;5 km, 10 km;PYRZYCE;ZACHODNIOPOMORSKIE;0
"Sopot, ""VII TRÓJMIEJSKIEGO ZLOTU MORSÓW „TOPIENIE MARZANNY” W SOPOCIE""";23-03-2025;marzec;2025;;SOPOT;POMORSKIE;0
"Bolszewo, ""Bicie Rekordu Polski w jednoczesnej grze na akordeonach""";23-03-2025;marzec;2025;;BOLSZEWO;POMORSKIE;0
FALSTARTOWA TRIADA 2025;23-03-2025;marzec;2025;1 km, 3 km, 5.7 km;ODCINEK;OPOLSKIE;0
Dziki Bieg - Wiosna;23-03-2025;marzec;2025;13 km;WARSZAWA;MAZOWIECKIE;1
Przybij Piątkę z Gabrysiem;23-03-2025;marzec;2025;5 km;BUDY GŁOGOWSKIE;PODKARPACKIE;0
Aquathlon Rzeszów 2025;23-03-2025;marzec;2025;;RZESZÓW;PODKARPACKIE;0
3. Pietrasze Cross Country 5/5;23-03-2025;marzec;2025;6.3 km;BIAŁYSTOK;PODLASKIE;0
Grand Prix CITY TRAIL;23-03-2025;marzec;2025;5 km;BYDGOSZCZ;KUJAWSKO-POMORSKIE;0
4. CROSS KROTOSZYŃSKI;23-03-2025;marzec;2025;;KROTOSZYN;WIELKOPOLSKIE;0
24. PKO Półmaraton dookoła Jeziora Żywie...;23-03-2025;marzec;2025;21.097 km;ŻYWIEC;ŚLĄSKIE;0
Bieg po Bańkę Mleka;23-03-2025;marzec;2025;10 km;TRZEBIESZOWICE;DOLNOŚLĄSKIE;0
Kibolska Dycha;23-03-2025;marzec;2025;10 km;POZNAŃ;WIELKOPOLSKIE;0
Odlotowa5;23-03-2025;marzec;2025;5 km;SZYMANY;WARMIŃSKO-MAZURSKIE;0
11 Harpagańska Dycha;23-03-2025;marzec;2025;10 km;SOSNOWIEC;ŚLĄSKIE;0
XLI Perła Paprocan;23-03-2025;marzec;2025;42.195 km;TYCHY;ŚLĄSKIE;0
Bieg z Pazurem;23-03-2025;marzec;2025;6 km;RADZYMIN;MAZOWIECKIE;0
24. PKO Półmaraton dookoła Jeziora Żywieckiego;23-03-2025;marzec;2025;21.097 km;ŻYWIEC;ŚLĄSKIE;0
Powitanie Wiosny 2025;23-03-2025;marzec;2025;0.2 km, 0.4 km, 0.5 km, 0.6 km, 0.8 km, 5 km;MIŃSK MAZOWIECKI;MAZOWIECKIE;0
II Sulmierzycka wiosenna 10;23-03-2025;marzec;2025;1 km, 10 km;SULMIERZYCE;ŁÓDZKIE;0
III Bieg po Bańkę Mleka, II Bieg po Byczy Róg;23-03-2025;marzec;2025;10 km, 21 km;TRZEBIESZOWICE;DOLNOŚLĄSKIE;0
VI Bieg i Nordic Walking „Szukamy Bociana”;23-03-2025;marzec;2025;6 km, 12 km;HORYNIEC-ZDRÓJ;PODKARPACKIE;0
"""Zabiegaj Puszczaka"" Kurpiowski bieg z Przeszkodami";23-03-2025;marzec;2025;1 km, 5 km, 10 km;ŁODZISKA;MAZOWIECKIE;0
XLI Perła Paprocan;23-03-2025;marzec;2025;;TYCHY;ŚLĄSKIE;0
Keep Run Malta #50;25-03-2025;marzec;2025;5 km;POZNAŃ;WIELKOPOLSKIE;0
Duch Pogórza;28-03-2025;marzec;2025;200 km;DUBIECKO;PODKARPACKIE;0
Waligóra Run Cross;29-03-2025;marzec;2025;27.5 km, 52 km;GŁUSZYCA;DOLNOŚLĄSKIE;1
8 Waligóra Run Cross;29-03-2025;marzec;2025;52 km;GŁUSZYCA;DOLNOŚLĄSKIE;0
"Gdańsk, ""#RUNGDN Jasień""";29-03-2025;marzec;2025;5 km;GDAŃSK;POMORSKIE;0
Na Przijmo bez Gaszowice i Okolice;29-03-2025;marzec;2025;50 km;GASZOWICE;ŚLĄSKIE;0
XV Maraton Jastrowski;29-03-2025;marzec;2025;42.195 km;JASTROWIE;WIELKOPOLSKIE;0
Gliwicka Parkowa Prowokacja Biegowa-sezo...;29-03-2025;marzec;2025;21.097 km;GLIWICE;ŚLĄSKIE;0
"17 Półmaraton Ślężański
Piątka Ślężysława";29-03-2025;marzec;2025;5 km, 21.097 km;SOBÓTKA;DOLNOŚLĄSKIE;0
17. Półmaraton Ślężański i Piątka Ślężysława;29-03-2025;marzec;2025;5 km, 21.097 km;SOBÓTKA;DOLNOŚLĄSKIE;0
19. Półmaraton Warszawski;30-03-2025;marzec;2025;5 km, 21.097 km;WARSZAWA;MAZOWIECKIE;0
XI Ostrowski ICE MAT Półmaraton pod Patronatem Prezydenta Miasta Ostrowa Wielkopolskiego;30-03-2025;marzec;2025;7 km, 21.097 km;OSTRÓW WIELKOPOLSKI;WIELKOPOLSKIE;0
Wiosenne Zabieganie;30-03-2025;marzec;2025;6.6 km;ŁÓDŹ;ŁÓDZKIE;0
XI Ostrowski Półmaraton;30-03-2025;marzec;2025;21.097 km;OSTRÓW WIELKOPOLSKI;WIELKOPOLSKIE;0
Bieg III - XVIII Grand Prix Tychów w Biegach Długodystansowych 2025;30-03-2025;marzec;2025;5 km, 10 km;PAPROCANY;ŚLĄSKIE;0
4 Bieg Strażaka;30-03-2025;marzec;2025;5 km, 988 km;WIELUŃ;ŁÓDZKIE;0
Marcinka Cross Challenge;30-03-2025;marzec;2025;10 km;TARNÓW;MAŁOPOLSKIE;0
Niebieska Fala;30-03-2025;marzec;2025;10 km;POZNAŃ;WIELKOPOLSKIE;0
"Skarszewy, ""„ X Borówno Cross” - Bieg wokół jeziora Borówno Wielkie""";30-03-2025;marzec;2025;5.5 km;SKARSZEWY;POMORSKIE;0
5 Biegam z Czystą przyjemnością;30-03-2025;marzec;2025;5 km;WROCŁAW;DOLNOŚLĄSKIE;0
16. Błękitna Wstęga Balatonu;30-03-2025;marzec;2025;0.2 km, 0.4 km, 0.8 km, 1.6 km, 5 km, 10 km;WODZISŁAW ŚLĄSKI;ŚLĄSKIE;0
5 Biegam z czystą przyjemnością;30-03-2025;marzec;2025;10 km;CHORZÓW;ŚLĄSKIE;0
CHARYTATYWNY BIEG oraz MARSZ NORDIC WALKING „DLA MATEUSZA”;30-03-2025;marzec;2025;10 km;RACIBÓRZ;ŚLĄSKIE;0
Siedlecki Maraton na Raty;04-04-2025;kwiecień;2025;42.195 km;SIEDLCE;MAZOWIECKIE;0
DOZ Maraton Łódź;04-04-2025;kwiecień;2025;10 km, 42.195 km;ŁÓDŹ;ŁÓDZKIE;0
Siedlecki Maraton na Raty;04-04-2025;kwiecień;2025;21 km, 42 km;SIEDLCE;MAZOWIECKIE;0
Patrol Graniczny VI;05-04-2025;kwiecień;2025;53 km;OPAWA;DOLNOŚLĄSKIE;0
Botaniczna Piątka;05-04-2025;kwiecień;2025;5 km;POZNAŃ;WIELKOPOLSKIE;0
Bieg Kids Run podczas Imprezy pod nazwą DOZ Maraton Łódź 2025;05-04-2025;kwiecień;2025;;ŁÓDŹ;ŁÓDZKIE;0
Bieg Europejski;05-04-2025;kwiecień;2025;10 km;GNIEZNO;WIELKOPOLSKIE;0
OSHEE Bieg Nocny na 10 km;05-04-2025;kwiecień;2025;10 km;KRAKÓW;MAŁOPOLSKIE;0
22. Bieg Europejski;05-04-2025;kwiecień;2025;10 km;GNIEZNO;WIELKOPOLSKIE;0
"Górzno, ""Dworek Wapionka MTB Maraton'25""";05-04-2025;kwiecień;2025;30 km, 60 km;GÓRZNO;KUJAWSKO-POMORSKIE;0
Cracovia Maraton na Rolkach;05-04-2025;kwiecień;2025;42.195 km;KRAKÓW;MAŁOPOLSKIE;0
I Prudnicki Bieg Górski;05-04-2025;kwiecień;2025;10 km;PRUDNIK;OPOLSKIE;0
13 Pielgrzymka Maratońska;06-04-2025;kwiecień;2025;62 km;BYTÓW;POMORSKIE;0
22 Cracovia Maraton;06-04-2025;kwiecień;2025;42.195 km;KRAKÓW;MAŁOPOLSKIE;0
Gdańsk Maraton;06-04-2025;kwiecień;2025;42.195 km;GDAŃSK;POMORSKIE;0
XIII Panewnicki Bieg Dzika (04);06-04-2025;kwiecień;2025;19.528 km;KATOWICE;ŚLĄSKIE;0
40 Biegi Przełajowe;06-04-2025;kwiecień;2025;6 km;KOBYLA GÓRA;WIELKOPOLSKIE;0
38. Bieg Sokoła;06-04-2025;kwiecień;2025;15 km;BUKÓWIEC GÓRNY;WIELKOPOLSKIE;0
Bieg Trzech Wzgórz;06-04-2025;kwiecień;2025;10 km;WROCŁAW;DOLNOŚLĄSKIE;0
18. Półmaraton Rzeszowski;06-04-2025;kwiecień;2025;21.097 km;RZESZÓW;PODKARPACKIE;0
22. Cracovia Maraton dla Zawodników z niepełnosprawnościami startujących na wózkach;06-04-2025;kwiecień;2025;;KRAKÓW;MAŁOPOLSKIE;0
Botaniczna Piątka;06-04-2025;kwiecień;2025;5 km;WARSZAWA;MAZOWIECKIE;0
22. Cracovia Maraton;06-04-2025;kwiecień;2025;42.195 km;KRAKÓW;MAŁOPOLSKIE;0
Sztafety Ekiden podczas imprezy pod nazwą DOZ Maraton Łódź 2025;06-04-2025;kwiecień;2025;;ŁÓDŹ;ŁÓDZKIE;0
Sztafeta HALF&HALF MARATON podczas imprezy pod nazwą DOZ Maraton Łódź 2025;06-04-2025;kwiecień;2025;42.195 km;ŁÓDŹ;ŁÓDZKIE;0
Bieg na 10km podczas Imprezy pod nazwą DOZ Maraton Łódź 2025;06-04-2025;kwiecień;2025;10 km;ŁÓDŹ;ŁÓDZKIE;0
VII Charytatywny Bieg i Marsz Nordic Walking „Z sercem na dłoni”;06-04-2025;kwiecień;2025;5.5 km;GMINNY OŚRODEK KULTURY I REKREACJI;;0
"Starogard Gdański, ""41. Bieg Szpęgawski z AQ""";06-04-2025;kwiecień;2025;;STAROGARD GDAŃSKI;POMORSKIE;0
DOZ Maraton Łódź;06-04-2025;kwiecień;2025;42.195 km;ŁÓDŹ;ŁÓDZKIE;0
Bieg Kreta;09-04-2025;kwiecień;2025;148 km, 379.5 km;SOBÓTKA;DOLNOŚLĄSKIE;1
11. Bieg Kreta 2025;09-04-2025;kwiecień;2025;148 km;SOBÓTKA;DOLNOŚLĄSKIE;0
"Gdańsk, ""#RUNGDN Oliwa""";12-04-2025;kwiecień;2025;5 km;GDAŃSK;POMORSKIE;0
"Gdańsk, ""Goń Zajączka- bieg charytatywny - stacjonarny""";12-04-2025;kwiecień;2025;;GDAŃSK;POMORSKIE;0
Leśny Bieg Zająca;12-04-2025;kwiecień;2025;0.1 km, 0.2 km, 0.5 km, 5 km, 10 km;SOKOŁÓW PODLASKI;MAZOWIECKIE;0
6 Nocna Dycha;12-04-2025;kwiecień;2025;10 km;BRZEG;OPOLSKIE;0
Ultramaraton DG24h;12-04-2025;kwiecień;2025;24 km;DĄBROWA GÓRNICZA;ŚLĄSKIE;0
Ultra miles of Beskid Wyspowy;12-04-2025;kwiecień;2025;60 km;ŁĄCKO;MAŁOPOLSKIE;0
Towarzyskie Mistrzostwa Polski w 12-godz...;12-04-2025;kwiecień;2025;12 km;MORĄG;WARMIŃSKO-MAZURSKIE;0
Kudowska Sztafeta Górska;12-04-2025;kwiecień;2025;29.5 km, 41.5 km, 75.5 km;KUDOWA-ZDRÓJ;DOLNOŚLĄSKIE;1
XXXV Bieg im. Tomasza Hopfera;12-04-2025;kwiecień;2025;10 km;JANOWIEC WIELKOPOLSKI;KUJAWSKO-POMORSKIE;0
Bieg Stulecia Podkowy Leśnej;12-04-2025;kwiecień;2025;10 km;PODKOWA LEŚNA;MAZOWIECKIE;0
Bieg Stulecia w Podkowie Leśnej;12-04-2025;kwiecień;2025;10 km;PODKOWA LEŚNA;MAZOWIECKIE;0
XXXV Bieg im. Tomasza Hopfera Biegi dziecięce;12-04-2025;kwiecień;2025;;JANOWIEC WIELKOPOLSKI;KUJAWSKO-POMORSKIE;0
6 Bieg Korczaka;12-04-2025;kwiecień;2025;5 km;POLICE;ZACHODNIOPOMORSKIE;0
8. Skynet Dziesiątka Babicka - Biegi dziecięce;12-04-2025;kwiecień;2025;;STARE BABICE;MAZOWIECKIE;0
Yolo Night;12-04-2025;kwiecień;2025;10 km;NIEPOŁOMICE;MAŁOPOLSKIE;0
8. Skynet Dziesiątka Babicka;12-04-2025;kwiecień;2025;10 km;STARE BABICE;MAZOWIECKIE;0
Bieg Na Szczyt Rondo 1;12-04-2025;kwiecień;2025;;WARSZAWA;MAZOWIECKIE;0
"Rumia, ""Puchar Pomorza w biegach dzieci i młodzieży """;13-04-2025;kwiecień;2025;;RUMIA;POMORSKIE;0
"XIII Półmaraton Jeleniogórski
i XIII Jeleniogórska Dziesiątka";13-04-2025;kwiecień;2025;10 km, 21.097 km;JELENIA GÓRA;DOLNOŚLĄSKIE;0
III Gminny Bieg Leśny;13-04-2025;kwiecień;2025;10 km;EMILIN;ŁÓDZKIE;0
13 Półmaraton Jeleniogórski;13-04-2025;kwiecień;2025;21.097 km;JELENIA GÓRA;DOLNOŚLĄSKIE;0
Biegowa Niegowa;13-04-2025;kwiecień;2025;30 km;NIEGOWA;ŚLĄSKIE;0
"Pelplin, ""Pelplin Forest Run""";13-04-2025;kwiecień;2025;;PELPLIN;POMORSKIE;0
Arm Race Toruń;13-04-2025;kwiecień;2025;10 km;TORUŃ;KUJAWSKO-POMORSKIE;0
15. Cieszyński FORTUNA Bieg;13-04-2025;kwiecień;2025;10 km;CIESZYN;ŚLĄSKIE;0
Biegowa Niegowa;13-04-2025;kwiecień;2025;11 km, 21 km, 30 km;NIEGOWA;ŚLĄSKIE;1
Cieplicki Bieg Juniora;13-04-2025;kwiecień;2025;;JELENIA GÓRA;DOLNOŚLĄSKIE;0
IV Półmaraton Polkowicki;13-04-2025;kwiecień;2025;21.097 km;POLKOWICE;DOLNOŚLĄSKIE;0
34 Maraton Juranda;13-04-2025;kwiecień;2025;42.198 km;LIPOWIEC;MAŁOPOLSKIE;0
Biegowa Niegowa - ExtremeJura;13-04-2025;kwiecień;2025;5 km, 11 km, 21 km, 30 km;NIEGOWA;ŚLĄSKIE;0
XIII Pabianicki Półmaraton WSZYSTKO GRA;13-04-2025;kwiecień;2025;21.097 km;PABIANICE;ŁÓDZKIE;0
Chwałowicki Maraton Napoleoński;13-04-2025;kwiecień;2025;42.2 km;CHWAŁOWICE;MAŁOPOLSKIE;0
15 Cieszyński Bieg;13-04-2025;kwiecień;2025;10 km;CIESZYN;ŚLĄSKIE;0
17 PKO Poznań Półmaraton;13-04-2025;kwiecień;2025;21.097 km;POZNAŃ;WIELKOPOLSKIE;0
17. PKO Poznań Półmaraton;13-04-2025;kwiecień;2025;21.097 km;POZNAŃ;WIELKOPOLSKIE;0
AKADEMIA BIEGANIA- WIOSNA 2025;15-04-2025;kwiecień;2025;;RYBNIK;ŚLĄSKIE;0
XI Bieg do Pustego Grobu;21-04-2025;kwiecień;2025;10 km;NOWA SÓL;LUBUSKIE;0
Keep Run Malta #51;22-04-2025;kwiecień;2025;5 km;POZNAŃ;WIELKOPOLSKIE;0
IV Bieg po Schodach 1/2;23-04-2025;kwiecień;2025;;JASTRZĘBIA GÓRA;POMORSKIE;0
Pieniny Ultra Trail;25-04-2025;kwiecień;2025;133 km;SZCZAWNICA;MAŁOPOLSKIE;0
Ultra Cross GWINT;25-04-2025;kwiecień;2025;35 km, 55 km, 100 m, 110 km;WOLSZTYN;WIELKOPOLSKIE;0
Pieniny Ultra-Trail;25-04-2025;kwiecień;2025;65 km, 96.5 km, 134 km;SZCZAWNICA;MAŁOPOLSKIE;1
Gwint Ultra Cross;25-04-2025;kwiecień;2025;56 km, 111.5 km, 166.5 km;GRODZISK;PODLASKIE;1
Gdynia Półmaraton;26-04-2025;kwiecień;2025;5 km, 21.097 km;GDYNIA;POMORSKIE;0
XV Cross Straceńców - Nordic Walking;26-04-2025;kwiecień;2025;;GŁOGÓW;DOLNOŚLĄSKIE;0
Bieg w zielone;26-04-2025;kwiecień;2025;10 km;MIĘDZYRZEC PODLASKI;LUBELSKIE;0
Leśny Lament Trail Run 2025;26-04-2025;kwiecień;2025;;RYBNIK;ŚLĄSKIE;0
XVI Wiszeńska (za) Dyszka;26-04-2025;kwiecień;2025;1.5 km, 10 km;LIGOTA PIĘKNA;DOLNOŚLĄSKIE;0
Bieg Małego Straceńca;26-04-2025;kwiecień;2025;;GŁOGÓW;DOLNOŚLĄSKIE;0
III Jejkowicki Eco Bieg;26-04-2025;kwiecień;2025;5 km;JEJKOWICE;ŚLĄSKIE;0
Festiwal Biegowy im. W. Korfantego;26-04-2025;kwiecień;2025;5 km;KATOWICE;ŚLĄSKIE;0
Warta Trail 24;26-04-2025;kwiecień;2025;1 km, 15 km;PATRZYKÓW;ŚLĄSKIE;0
Sztafetowe Mistrzostwa Crossu Straceńców;26-04-2025;kwiecień;2025;;GŁOGÓW;DOLNOŚLĄSKIE;0
I Charytatywny Bieg im. Urszuli Ledóchow...;26-04-2025;kwiecień;2025;5 km;KOSZALIN;ZACHODNIOPOMORSKIE;0
Leśny Lament;26-04-2025;kwiecień;2025;8 km;RYBNIK;ŚLĄSKIE;0
III Półmaraton Marianny Orańskiej;26-04-2025;kwiecień;2025;21.097 km;ZŁOTY STOK;DOLNOŚLĄSKIE;0
Festiwal Biegów Górskich 3xKopa;26-04-2025;kwiecień;2025;100 km;GŁUCHOŁAZY;OPOLSKIE;0
41 Bieg Kosynierów;26-04-2025;kwiecień;2025;10 km;WRZEŚNIA;WIELKOPOLSKIE;0
14 Półmaraton Henrykowski;26-04-2025;kwiecień;2025;21 km;HENRYKÓW;DOLNOŚLĄSKIE;0
3xKopa;26-04-2025;kwiecień;2025;43.5 km, 63 km, 104 km;POKRZYWNA;OPOLSKIE;1
14. Półmaraton Henrykowski i 10. Dycha Księgi Henrykowskiej + NW Henryków;26-04-2025;kwiecień;2025;10 km, 21 km;HENRYKÓW;DOLNOŚLĄSKIE;0
6 godzin pełnej MOCY;26-04-2025;kwiecień;2025;6 km;WARSZAWA;MAZOWIECKIE;0
XVI Grand Prix Mysłowic O Puchar „...;26-04-2025;kwiecień;2025;6.7 km;MYSŁOWICE;ŚLĄSKIE;0
Bieg w zielone;26-04-2025;kwiecień;2025;10 km;MIĘDZYRZEC PODLASKI;LUBELSKIE;0
IV Cross Kampinos;26-04-2025;kwiecień;2025;100 km;LASKI;MAZOWIECKIE;0
Charytatywny Bieg z Misiem;26-04-2025;kwiecień;2025;10 km;POZNAŃ;WIELKOPOLSKIE;0
Cross Kampinos;26-04-2025;kwiecień;2025;25 km, 50 km, 100.5 km;LASKI;MAZOWIECKIE;1
Gliwicka Parkowa Prowokacja Biegowa-sezo...;26-04-2025;kwiecień;2025;21.097 km;GLIWICE;ŚLĄSKIE;0
17 Półmaraton Dąbrowski Arcelormittal Po...;27-04-2025;kwiecień;2025;21.097 km;DĄBROWA GÓRNICZA;ŚLĄSKIE;0
X Bieg i Rajd Nordic Walking na Mount Ev...;27-04-2025;kwiecień;2025;8.85 km;BYTÓW;POMORSKIE;0
III Siemianowicki Bieg i Nordic Walking;27-04-2025;kwiecień;2025;10 km;SIEMIANOWICE ŚLĄSKIE;ŚLĄSKIE;0
IV Półmaraton Doliny Baryczy;27-04-2025;kwiecień;2025;21.097 km;ŻMIGRÓD;DOLNOŚLĄSKIE;0
VII Przystanek Forma;27-04-2025;kwiecień;2025;5 km;KĘDZIERZYN-KOŹLE;OPOLSKIE;0
Grand Prix Małopolski;27-04-2025;kwiecień;2025;21.097 km;TRZEBINIA;MAŁOPOLSKIE;0
"Żukowo, ""Puchar Pomorza w biegach dzieci i młodzieży""";27-04-2025;kwiecień;2025;;ŻUKOWO;POMORSKIE;0
15 Bieg Częstochowski;27-04-2025;kwiecień;2025;10 km;CZĘSTOCHOWA;ŚLĄSKIE;0
STOP SMOG GO RUN | II Bieg Toyoty dla Dzieci;27-04-2025;kwiecień;2025;;WROCŁAW;DOLNOŚLĄSKIE;0
XV Cross Straceńców;27-04-2025;kwiecień;2025;;GŁOGÓW;DOLNOŚLĄSKIE;0
17. Półmaraton Dąbrowski ArcelorMittal Poland;27-04-2025;kwiecień;2025;21.097 km;DĄBROWA GÓRNICZA;ŚLĄSKIE;0
STOP SMOG GO RUN II Bieg Toyota Bielany Nowakowski na 5 km i 10 km;27-04-2025;kwiecień;2025;5 km, 10 km;WROCŁAW;DOLNOŚLĄSKIE;0
VIII Cartusia Półmaraton;27-04-2025;kwiecień;2025;21.097 km;KARTUZY;POMORSKIE;0
65 Biegi Ulicami Sieradza;27-04-2025;kwiecień;2025;10 km;SIERADZ;ŁÓDZKIE;0
Zamczyska Trail;27-04-2025;kwiecień;2025;10 km, 21 km;RYMANÓW-ZDRÓJ;PODKARPACKIE;1
17 Półmaraton Dąbrowski ArcelorMittal Poland;27-04-2025;kwiecień;2025;21.097 km;DĄBROWA GÓRNICZA;ŚLĄSKIE;0
Półmaraton Koło;27-04-2025;kwiecień;2025;21.097 km;KOŁO;WIELKOPOLSKIE;0
Cross Ostrzeszowski;27-04-2025;kwiecień;2025;21.5 km;OSTRZESZÓW;WIELKOPOLSKIE;1
VIII Mazurski Bieg na Kulce;27-04-2025;kwiecień;2025;10 km;KULKA;WARMIŃSKO-MAZURSKIE;0
"Cała Polska, ""Goń Zajączka- bieg charytatywny - wirtualny""";30-04-2025;kwiecień;2025;;CAŁA POLSKA;;0
Ultra Cross Myślęcinek;01-05-2025;maj;2025;52 km;BYDGOSZCZ;KUJAWSKO-POMORSKIE;0
"XXI Toyota Maraton Jelcz-Laskowice
VII Toyota Półmaraton Jelcz-Laskowice";01-05-2025;maj;2025;10 km, 21.097 km, 42.195 km;JELCZ-LASKOWICE;DOLNOŚLĄSKIE;0
XI Półmaraton Grudziądz - Rulewo Śladami Bronka Malinowskiego;01-05-2025;maj;2025;21.097 km;GRUDZIĄDZ - RULEWO;;0
XVIII STALOWOWOLSKI ROWEROWY CROSS COUNTRY o puchar Prezydenta Miasta Stalowej Woli;01-05-2025;maj;2025;;STALOWA WOLA;PODKARPACKIE;0
"Stilo, ""Ultra Stilo 5 - 4 Mistrzostwa Polski w 24 godzinnym Marszu Nordic Walking - złam stówkę na majówkę""";01-05-2025;maj;2025;;OSETNIK;;0
IX Półmaraton Doliną Rospudy;01-05-2025;maj;2025;21.097 km;BAKALARZEWO;PODLASKIE;0
XVIII Półmaraton Węgorza, V Bieg Flagi Biało - Czerwonej 7 km, 2 maja 2025 Węgorzewo;02-05-2025;maj;2025;7 km, 21 km;WĘGORZEWO;WARMIŃSKO-MAZURSKIE;0
VII Bieg z Flagą - Piekoszów 2 maja 2025;02-05-2025;maj;2025;;PIEKOSZÓW;ŚWIĘTOKRZYSKIE;0
Sowi BackYard Ultra 25;02-05-2025;maj;2025;50 km;DZIERŻONIÓW;DOLNOŚLĄSKIE;0
Sowi BackYard Ultra;02-05-2025;maj;2025;6.5 km;PIESZYCE;DOLNOŚLĄSKIE;1
Ultra Race Myślenice;03-05-2025;maj;2025;48 km;MYŚLENICE;MAŁOPOLSKIE;0
"Sztum, ""XXXII Międzynarodowy Sztumski Bieg i Marsz Solidarności""";03-05-2025;maj;2025;5.2 km, 10 km;SZTUM;POMORSKIE;0
Poznański Bieg Konstytucji;03-05-2025;maj;2025;10 km;POZNAŃ;WIELKOPOLSKIE;0
Bieg Nocny z Kopernikiem;03-05-2025;maj;2025;5 km;LIDZBARK WARMIŃSKI;WARMIŃSKO-MAZURSKIE;0
Uphill Muflon;03-05-2025;maj;2025;1 km;DUSZNIKI-ZDRÓJ;DOLNOŚLĄSKIE;1
Biegi Górskie Rabka-Zdrój - Wiosna;03-05-2025;maj;2025;5 km, 14.5 km, 35.5 km;RABKA-ZDRÓJ;MAŁOPOLSKIE;1
9 Bieg z konstytucją;03-05-2025;maj;2025;10 km;KOBIERZYCE;DOLNOŚLĄSKIE;0
XXXII Ogólnopolski Bieg im. Jana Kilińskiego;03-05-2025;maj;2025;3.5 km, 21.097 km;TRZEMESZNO;WIELKOPOLSKIE;0
XI Bieg Konstytucji 3 Maja;03-05-2025;maj;2025;5 km;RADOM;MAZOWIECKIE;0
Wings for Life WorldRun;04-05-2025;maj;2025;;POZNAŃ;WIELKOPOLSKIE;0
Półmaraton Ślimaka;04-05-2025;maj;2025;21.097 km;LIDZBARK WARMIŃSKI;WARMIŃSKO-MAZURSKIE;0
"Reda, ""Puchar Pomorza w biegach dzieci i młodzieży""";04-05-2025;maj;2025;;REDA;POMORSKIE;0
UltraBies;09-05-2025;maj;2025;54 km, 73.5 km, 104.5 km;JAWORZEC;PODKARPACKIE;1
Ultra Wysoczyzna;09-05-2025;maj;2025;21 km, 55 km, 81.5 km;ELBLĄG;WARMIŃSKO-MAZURSKIE;1
Ultra Wysoczyzna;09-05-2025;maj;2025;80 km;ELBLĄG;WARMIŃSKO-MAZURSKIE;0
"Kościelna Jania, gm. Smętowo Graniczne, ""XXX Biegi Jana z Jani - 6,5 km""";10-05-2025;maj;2025;6.5 km;OŚCIELNA JANIA;;0
Zabobrzańska Mila;10-05-2025;maj;2025;9 km;JELENIA GÓRA;DOLNOŚLĄSKIE;0
Beskidzki Topór;10-05-2025;maj;2025;;ANDRYCHÓW;MAŁOPOLSKIE;0
